date,source_overseas,source_locally_acquired_no_links,source_locally_acquired_linked,source_locally_acquired_investigation,source_interstate,test_count
9/6/2021,2,0,0,0,0,16979
1/1/2020,0,0,0,0,0,23
16/7/2021,7,6,93,8,0,68722
25/7/2020,6,1,11,0,0,14558
22/12/2020,8,0,5,0,0,61692
25/2/2020,0,0,0,0,0,256
26/5/2020,0,0,0,0,0,10107
20/2/2021,3,0,0,0,0,7456
8/9/2020,2,0,3,0,0,21141
25/11/2020,0,0,0,0,0,12562
25/10/2021,2,6,221,48,0,95558
3/9/2021,1,222,758,539,0,126379
5/11/2020,6,0,4,0,0,13433
21/4/2021,15,0,0,0,0,9451
12/4/2020,2,2,5,0,0,1164
12/9/2020,4,0,2,0,0,7360
2/3/2021,5,0,0,0,0,13560
23/10/2021,0,11,218,67,2,55785
19/11/2020,3,0,0,0,0,13742
29/8/2020,1,1,5,0,0,11071
1/6/2020,4,0,0,0,0,12514
22/8/2020,2,0,0,0,0,11616
8/10/2021,1,25,180,311,0,90578
11/5/2020,0,0,0,0,0,11293
10/12/2020,6,0,0,0,0,8675
9/3/2021,6,0,0,0,0,12470
10/8/2021,0,37,210,91,0,137554
3/3/2020,0,0,0,0,0,895
5/11/2021,2,7,207,51,0,69526
16/6/2020,0,0,0,0,0,17647
17/2/2021,1,0,0,0,0,16674
15/5/2021,2,0,0,0,0,6700
30/9/2020,3,1,0,0,0,10745
30/4/2020,8,1,6,0,0,8588
3/4/2021,1,0,0,0,0,4671
18/10/2020,6,0,0,0,0,5835
21/9/2021,1,140,581,400,1,118981
7/9/2021,0,240,642,517,0,130230
24/9/2020,2,0,0,0,0,11608
9/4/2021,5,0,0,0,0,7728
8/4/2020,10,9,23,0,2,4174
9/11/2020,5,0,0,0,0,25382
25/8/2020,0,2,4,0,0,30009
6/3/2021,1,0,0,0,0,5736
12/5/2020,0,3,2,0,0,11393
11/10/2021,1,13,154,203,1,95246
9/12/2020,9,0,0,0,0,10720
26/12/2020,5,0,8,0,0,16387
6/8/2020,0,0,10,0,1,27436
20/12/2021,0,0,0,0,0,178933
20/7/2021,2,10,71,24,0,79248
21/2/2020,0,0,0,0,0,194
28/5/2021,2,0,0,0,0,16387
2/11/2020,3,0,1,0,0,18510
13/9/2020,4,0,2,0,1,6665
15/4/2020,4,1,16,0,1,5880
20/4/2021,7,0,0,0,0,9460
4/9/2021,2,181,582,447,0,109370
24/6/2020,3,1,0,0,0,17403
27/3/2020,132,22,47,0,12,5610
29/11/2021,0,0,0,0,0,89409
18/8/2021,3,72,417,141,2,155058
7/5/2021,5,0,0,0,0,18286
24/1/2021,1,0,0,0,0,5264
14/1/2021,2,0,0,0,0,12338
9/12/2021,0,0,0,0,0,80060
14/6/2021,4,0,0,0,0,9396
20/7/2020,1,0,13,0,0,30478
24/1/2020,0,0,0,0,0,9
2/2/2020,0,0,0,0,0,38
11/7/2021,7,3,102,9,0,48234
6/4/2021,5,0,0,0,0,13038
27/9/2020,0,0,0,0,0,5044
18/9/2021,1,152,538,384,0,103558
19/10/2020,7,0,3,0,0,16197
29/4/2020,1,1,1,0,0,9486
30/7/2021,1,9,153,34,0,104180
13/6/2020,8,0,1,0,0,6122
18/3/2020,19,5,19,0,2,6125
12/11/2021,5,12,194,43,7,62006
2/2/2021,2,0,0,0,0,10199
18/5/2021,2,0,0,0,0,16129
19/10/2021,0,12,218,80,0,75551
5/6/2020,0,0,0,0,0,9425
2/9/2020,3,1,6,0,0,22558
26/2/2021,4,0,0,0,0,11133
15/11/2020,2,0,0,0,0,6565
28/9/2020,5,0,0,0,0,14076
5/4/2021,9,0,0,0,0,5515
28/4/2020,5,3,2,0,0,9010
19/9/2021,1,108,477,321,0,124965
20/10/2020,3,0,1,0,0,12686
27/5/2020,1,0,0,0,0,10391
24/10/2021,0,3,210,49,0,69393
21/2/2021,1,0,0,0,0,8083
7/9/2020,2,1,8,0,0,25957
24/11/2020,2,0,0,0,0,12764
25/6/2020,4,2,0,0,0,17837
2/12/2021,0,0,0,0,0,63395
21/1/2021,0,0,0,0,0,10313
30/3/2020,62,13,14,0,1,5168
6/5/2021,4,0,0,0,0,24029
19/8/2021,3,69,474,215,0,138277
7/3/2020,0,0,0,0,0,603
13/2/2021,2,0,0,0,0,11644
11/5/2021,2,0,0,0,0,17112
6/8/2021,4,29,205,64,0,125512
1/11/2021,0,2,99,39,1,109247
20/6/2020,6,0,0,0,0,6537
3/1/2020,0,0,0,0,0,1
16/12/2020,6,1,2,0,0,8128
14/7/2021,1,5,67,3,0,88022
31/7/2020,2,2,10,0,1,22942
3/6/2021,0,0,0,0,0,19646
2/3/2020,0,0,0,0,0,796
25/12/2020,5,0,6,0,0,7772
21/12/2021,0,0,0,0,0,181398
22/2/2020,0,0,0,0,0,80
23/7/2021,0,8,120,22,0,94395
9/8/2020,2,1,10,0,0,10906
25/5/2021,2,0,0,0,0,16238
28/8/2021,2,138,624,344,1,112509
27/4/2021,12,0,0,0,0,11479
21/3/2020,76,15,28,0,3,2468
30/1/2021,2,0,0,0,0,5868
4/7/2020,12,0,0,0,0,7254
23/11/2021,0,0,0,0,0,69397
16/11/2021,0,43,183,3,2,74011
6/2/2021,0,0,0,0,0,6567
22/5/2021,0,0,0,0,0,5925
14/3/2020,12,2,5,0,1,2052
9/6/2020,3,0,0,0,0,16434
3/8/2021,1,18,169,48,0,101136
6/2/2020,0,0,0,0,0,72
28/1/2020,0,0,0,0,0,32
10/1/2021,8,2,2,0,0,11190
10/6/2021,2,0,0,0,0,18594
24/7/2020,7,0,11,0,0,22857
7/7/2021,1,3,28,5,0,38836
5/12/2021,0,0,0,0,0,61116
14/10/2021,1,12,198,198,0,66407
9/5/2020,1,0,0,0,0,5712
12/12/2020,3,0,0,0,0,4699
11/3/2021,6,0,0,0,0,9665
20/8/2020,0,1,4,0,0,28571
3/9/2020,1,0,6,0,0,19549
25/2/2021,4,0,0,0,0,13191
28/10/2021,2,6,201,60,1,70819
28/11/2020,4,0,0,0,0,4540
23/5/2020,1,0,0,0,0,4267
6/12/2021,0,0,0,0,0,93823
27/1/2020,0,0,0,0,0,13
7/2/2020,0,0,0,0,0,104
9/1/2021,5,0,2,0,0,17361
6/7/2021,1,2,31,1,0,36597
11/6/2021,0,0,0,0,0,16319
23/7/2020,1,1,5,0,0,26050
2/10/2020,0,0,0,0,0,7821
1/4/2021,0,0,0,0,0,11946
2/5/2020,0,2,0,0,0,5978
16/10/2020,2,0,5,0,0,11120
15/9/2021,0,206,611,503,0,127539
8/5/2021,7,0,0,0,0,8588
23/1/2021,5,0,0,0,0,6724
23/6/2020,10,0,0,0,0,18305
28/3/2020,95,12,34,0,2,2552
30/11/2021,0,0,0,0,0,74798
17/8/2021,1,65,318,162,1,144496
21/12/2020,4,0,8,0,0,63717
26/2/2020,0,0,0,0,0,333
19/7/2021,1,3,51,11,0,94940
28/7/2020,4,0,18,0,0,24850
6/6/2021,4,0,0,0,0,8758
30/1/2020,0,0,0,0,0,37
22/7/2020,3,1,12,0,0,28136
12/1/2021,5,0,0,0,0,17775
4/2/2020,0,0,0,0,0,61
5/7/2021,1,1,15,0,0,48697
12/6/2021,1,0,0,0,0,8044
3/12/2021,0,0,0,0,0,67630
24/8/2020,2,0,2,0,0,34847
8/12/2020,2,0,0,0,0,11433
13/5/2020,3,1,0,0,0,11399
7/3/2021,1,0,0,0,0,6016
10/10/2021,1,15,200,226,0,89328
1/4/2020,50,32,40,0,2,4194
27/6/2020,10,0,0,0,0,8815
4/5/2021,7,0,0,0,0,10868
19/1/2021,4,0,0,0,0,13790
26/11/2021,0,0,0,0,0,54644
13/8/2021,0,44,302,107,0,152685
18/4/2020,0,6,11,0,0,3749
1/9/2021,0,223,645,459,1,137788
15/4/2021,1,0,0,0,0,8144
18/9/2020,3,0,1,0,0,12028
30/10/2020,3,0,1,0,0,11121
13/3/2020,13,3,3,0,0,4392
10/6/2020,0,0,0,0,0,14370
7/2/2021,5,0,0,0,0,6213
21/5/2021,3,0,0,0,0,10740
4/8/2021,5,18,184,41,0,112483
15/11/2021,2,36,157,0,1,92798
25/9/2020,1,0,0,0,0,9936
6/11/2020,4,0,1,0,0,13617
8/9/2021,2,235,596,598,0,135398
11/4/2020,8,3,7,0,0,1467
8/4/2021,3,0,0,0,0,8140
22/10/2021,1,5,261,74,0,70365
3/3/2021,6,0,0,0,0,13379
28/8/2020,2,0,8,0,0,22411
18/11/2020,7,0,0,0,0,15593
2/6/2020,1,0,0,0,0,11660
21/7/2021,1,9,114,19,0,90530
20/2/2020,0,0,0,0,0,184
14/1/2020,0,0,0,0,0,1
27/5/2021,4,0,0,0,0,17563
27/12/2020,7,0,3,0,0,20406
7/8/2020,1,0,7,0,0,25104
19/12/2021,0,0,0,0,0,117915
26/4/2020,1,0,0,0,0,3816
22/3/2021,2,0,0,0,0,12953
22/10/2020,3,0,0,0,0,12765
12/10/2020,7,0,8,0,0,17972
25/9/2021,1,104,496,314,0,98637
23/8/2021,2,70,506,249,0,155992
26/3/2020,126,15,41,0,3,5902
24/4/2021,4,0,0,0,0,5026
7/7/2020,5,0,1,0,0,15344
25/1/2021,3,0,0,0,0,10324
20/11/2021,0,0,0,0,0,41454
3/10/2021,0,26,244,356,1,83659
20/5/2020,0,1,0,0,0,9256
1/12/2020,6,0,0,0,0,10935
17/8/2020,2,0,1,0,0,28670
14/3/2021,3,0,0,0,0,5480
22/4/2020,1,1,1,0,0,5329
8/10/2020,4,0,2,0,0,13386
26/3/2021,3,0,0,0,0,7909
29/9/2021,1,145,564,253,1,109810
26/10/2020,13,0,2,0,0,15266
17/11/2021,2,43,201,1,3,72047
25/4/2021,7,0,0,0,0,4584
28/1/2021,4,0,0,0,0,10013
22/8/2021,1,105,444,191,0,146897
23/3/2020,142,6,27,0,2,6183
6/7/2020,10,0,2,0,1,16780
24/9/2021,1,134,531,369,0,105862
11/10/2020,4,0,1,0,0,6122
23/3/2021,4,0,0,0,0,9177
21/10/2020,8,0,1,0,0,11951
27/4/2020,0,0,5,0,0,8735
11/9/2020,2,0,6,0,0,14328
13/4/2020,4,0,3,0,0,1665
2/9/2021,1,179,739,448,0,116171
4/11/2020,3,0,0,0,0,15084
22/4/2021,5,0,0,0,0,8569
26/6/2021,3,0,24,0,1,56761
21/6/2021,0,0,5,0,0,51783
13/7/2020,3,0,13,0,1,23993
12/12/2021,0,0,0,0,0,84201
3/1/2021,8,0,3,0,0,22223
13/2/2020,0,0,0,0,0,128
30/5/2021,2,0,0,0,0,8625
19/2/2020,0,0,0,0,0,189
28/12/2020,5,0,4,0,0,19343
4/8/2020,1,0,8,0,0,28010
26/12/2021,0,0,0,0,0,32593
26/7/2021,2,6,112,23,0,109708
23/9/2021,0,133,530,325,0,100796
10/10/2020,4,0,3,0,0,6517
24/3/2021,3,0,0,0,0,9552
24/10/2020,6,0,1,0,0,6074
24/4/2020,2,1,11,0,0,6543
1/2/2021,2,0,0,0,0,13023
21/11/2021,0,0,0,0,0,51373
19/3/2020,43,4,9,0,0,5688
26/8/2021,2,97,542,303,0,124675
2/7/2020,4,1,0,0,0,15052
29/4/2021,2,0,0,0,0,9740
4/10/2021,0,18,234,339,1,89195
6/12/2020,7,0,0,0,0,4624
21/3/2021,4,0,0,0,0,4307
10/8/2020,3,2,16,0,1,27628
15/5/2020,2,0,0,0,0,9664
25/4/2020,0,0,3,0,0,4514
22/9/2021,1,143,545,365,0,119259
9/10/2020,1,0,3,0,0,11138
25/3/2021,2,0,0,0,0,8110
23/10/2020,6,0,0,0,0,10306
2/1/2021,3,0,4,0,0,26203
18/6/2021,5,0,2,0,0,24031
20/1/2020,0,0,0,0,0,1
29/6/2021,8,1,22,0,0,59463
14/2/2020,0,0,0,0,0,102
13/12/2021,0,0,0,0,0,138331
16/7/2020,2,4,3,0,0,26516
21/11/2020,9,0,0,0,0,5637
4/3/2021,9,0,0,0,0,11230
30/5/2020,2,0,0,0,0,4800
21/10/2021,0,10,251,97,0,60941
27/8/2020,0,2,13,0,0,24567
1/10/2020,2,0,0,0,1,8949
14/9/2021,1,154,613,427,0,120877
2/4/2021,3,0,0,0,0,5248
3/5/2020,0,1,0,0,0,4848
15/10/2020,3,0,0,0,0,13135
7/5/2020,0,0,2,0,0,10829
14/12/2020,7,0,0,0,0,12029
12/10/2021,1,11,184,239,0,79719
13/3/2021,4,0,1,0,0,4832
18/8/2020,1,2,4,0,1,32279
20/8/2021,6,75,478,210,0,140653
22/1/2021,1,0,0,0,0,10632
29/3/2020,74,17,29,0,4,1812
5/5/2021,7,1,1,0,0,13126
1/12/2021,0,0,0,0,0,81558
26/6/2020,5,0,0,0,0,16526
16/4/2020,6,0,16,0,0,7171
16/9/2020,4,0,3,0,0,15916
30/8/2021,2,140,561,378,0,150728
1/11/2020,4,0,1,0,0,6211
17/4/2021,4,0,0,0,0,4534
4/2/2021,0,0,0,0,0,10990
11/6/2020,2,1,0,0,0,12805
28/7/2021,3,24,174,53,0,106570
20/5/2021,0,0,0,0,0,12351
16/3/2020,17,3,9,0,0,7108
10/11/2021,2,9,196,53,3,71595
20/9/2020,4,0,1,0,0,6131
13/11/2020,5,0,1,0,0,13402
4/4/2020,27,15,27,0,4,1890
13/4/2021,4,0,0,0,0,10092
11/9/2021,0,203,589,461,0,102334
30/3/2021,4,0,1,0,0,21135
14/10/2020,5,1,4,0,0,13842
4/5/2020,0,1,3,0,0,12001
4/10/2020,2,0,0,0,0,4208
17/9/2021,2,171,647,464,1,119396
17/10/2021,1,13,166,102,0,73509
31/8/2020,1,0,11,0,0,32730
28/2/2021,6,0,0,0,0,6839
3/6/2020,2,0,0,0,0,10673
17/11/2020,6,0,0,0,0,16215
5/10/2020,9,0,0,0,0,4729
29/3/2021,4,0,0,0,0,19566
26/9/2021,1,92,403,306,1,120294
21/4/2020,0,1,5,0,0,5891
27/10/2020,4,0,1,0,0,13255
8/6/2021,1,0,0,0,0,18654
23/12/2020,9,2,10,0,0,42057
2/1/2020,0,0,0,0,0,1
26/7/2020,3,1,5,0,0,9687
17/7/2021,5,5,81,8,0,62784
24/2/2020,0,0,0,0,0,286
